cityName,content,gender ,nickName,userLevel,score,time,date,evaluate
枣阳,毫无嗨点，没有体验价值，看这种不如玩手机呢！浪费35块钱,1,Faker,2,2.0,2020-09-15 17:53:33,2020-09-15,unkown
唐山,还好吧，很戏剧,2,比阳光还刺眼的…,1,3.5,2020-09-15 17:53:27,2020-09-15,购票
济南,拍摄的不错，场景设计很好，服装非常华丽，内容基本忠于历史文化。在语言上没有太多说教，很不错值得一看。,0,王青,2,4.5,2020-09-15 17:52:22,2020-09-15,好评
中山,整部戏全靠神仙姐姐颜值在撑,1,Tiger Fu,3,4.0,2020-09-15 17:51:42,2020-09-15,好评
西安,很好看的一部电影,0,ZMb908485810,4,5.0,2020-09-15 17:51:32,2020-09-15,好评
安阳,还可以马马虎虎,0,mVl182274504,2,3.5,2020-09-15 17:51:10,2020-09-15,购票
阜阳,我都不想评论，但又怕大家花冤枉钱。真是烂到家了，看了一半，想死的心都有了,0,ju139191,3,0.5,2020-09-15 17:50:47,2020-09-15,unkown
嘉峪关,大制作👍 在传统故事的基础有神秘奇幻色彩，注重花木兰内心的成长，代入感很强，也呼应了女性平等的主题。对古习俗的还原很用心。没有血腥场景，仍然拍出了战争的真实气氛。只是还是缺少对传统社会人性的考究，缺乏一定真实性。整体很棒。,0,小李,1,3.5,2020-09-15 17:50:41,2020-09-15,购票
杭州,好看，十分推荐,1,Wus759241718,2,4.5,2020-09-15 17:50:22,2020-09-15,unkown
上海,这个影片现在只有让巩俐和刘亦菲DOI才能挽回,0,1900,2,2.5,2020-09-15 17:50:07,2020-09-15,unkown
武汉,垃圾电影，睡觉都嫌吵人,0,aaaaa,2,0.5,2020-09-15 17:49:41,2020-09-15,差评
高安,剧情稍微弱了一点，画风很好，花木兰好帅٩(๑´3｀๑)۶😂 ,2,Alone.,1,4.0,2020-09-15 17:49:37,2020-09-15,好评
上海,相较于动画mulan，没有了我最喜欢的音乐部分，从大学就开始期待mulan了，到看完，怎么说还是有些遗憾，刘亦菲演技还是可以的只是剧情删减的太过空洞，已经撑不起120分钟了，由忠勇真增加了孝的立意，可以说给之前给木兰扣上女权帽子的人一击了。还有贯穿全剧的气这个概念，而且男女主的感情线来的过于莫名，我只想木兰搞事业。给八分是感情分➕刘亦菲的颜值分😜,0,NikiLARAINE,2,4.0,2020-09-15 17:49:28,2020-09-15,好评
成都,情节不行，主要好看,1,H.L,2,4.0,2020-09-15 17:48:49,2020-09-15,unkown
合肥,特别好看啊。,1,dcG116728649,3,5.0,2020-09-15 17:48:42,2020-09-15,好评
普宁,神仙姐姐太帅了！！,0,玛蒂尔达,2,5.0,2020-09-15 17:48:27,2020-09-15,unkown
北京,很喜欢，影片充满了女性觉醒，家族荣耀，真我勇气的情怀，场面也很激动人心和宏大,0,张磊,3,5.0,2020-09-15 17:47:34,2020-09-15,好评
张家港,整体来说没什么特点，无聊的时候可以看一下剧情紧凑的，你来说一般般吧，没有什么太感动的地方也没有什么太震撼的地方，就是一个简单的电影，建议大家。无聊，可以看看。今天买了一张票一个听就我一个人在看整体感觉像包场一样，感觉还不错。非要评价的话，刘亦菲挺好看的。其他的都没事。我觉得花木兰要是中国人来拍的话就更算不上什么大片吧，很简单无聊看看。,0,Lss ZERO℃陆,3,2.5,2020-09-15 17:47:29,2020-09-15,购票
